CID;LAC;BCH;Localization;GPS
10886;8050;788;Brno - Slatina, Prostìjovská 997/7, panelák, ex 1279x;49°10'52.95"N,16°41'20.77"E
10887;8040;822;Brno - Štıøice, Pšeník 367/1, panelák, ex 1222x;49°10'27.17"N,16°35'45.27"E
10888;8040;796;Brno - Štıøice, Pšeník 367/1, panelák, ex 1222x;49°10'27.17"N,16°35'45.27"E
10889;8040;780;Brno - Štıøice, Pšeník 367/1, panelák, ex 1222x;49°10'27.17"N,16°35'45.27"E
10894;8030;794;Brno - abovøesky, Veveøí 2581/104, PVT, ex 1177x (+TMO,+O2);49°12'36.53"N,16°35'22.62"E
10895;8030;789;Brno - abovøesky, Veveøí 2581/104, PVT, ex 1177x (+TMO,+O2);49°12'36.53"N,16°35'22.62"E
10896;8030;826;Brno - abovøesky, Veveøí 2581/104, PVT, ex 1177x (+TMO,+O2);49°12'36.53"N,16°35'22.62"E
10897;8030;13;Brno - abovøesky, Veveøí 2581/104, PVT, ex 1177x (+TMO,+O2);49°12'36.53"N,16°35'22.62"E
10898;8030;15;Brno - abovøesky, Veveøí 2581/104, PVT, ex 1177x (+TMO,+O2);49°12'36.53"N,16°35'22.62"E
10904;8030;778;Brno - Èerná Pole, Rybníèek 323/4a, bytovı dùm, ex 1370x;49°12'38.33"N,16°36'14.53"E
10905;8030;787;Brno - Èerná Pole, Rybníèek 323/4a, bytovı dùm, ex 1370x;49°12'38.33"N,16°36'14.53"E
10906;8030;824;Brno - Èerná Pole, Rybníèek 323/4a, bytovı dùm, ex 1370x;49°12'38.33"N,16°36'14.53"E
10907;8050;781;Brno - Øeèkovice, Renèova 1523/22, panelák, ex 1333x;49°14'49.26"N,16°34'31.21"E
10908;8050;825;Brno - Øeèkovice, Renèova 1523/22, panelák, ex 1333x;49°14'49.26"N,16°34'31.21"E
10909;8050;793;Brno - Øeèkovice, Renèova 1523/22, panelák, ex 1333x;49°14'49.26"N,16°34'31.21"E
